2023-05-13 08:16:08 , udn , 興富發建設建案10日發生高空塔吊吊臂掉落中捷軌道1死10傷慘劇，高雄市防患未然，由勞工局會同工務局突擊檢查興富發集團在高... , https://udn.com/news/story/123447/7162336?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:29:58 , udn , 一見鍾情的愛情難長久？網友：沒眼緣哪來的進一步認識 , https://udn.com/news/story/7272/7161380?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:30:08 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤一年內「一見鍾情」相關話題的網路聲量，帶您了解網友對於一見鍾情的愛情能否長久的看法。 , https://udn.com/news/story/7272/7161380?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:30:29 , udn , 2元書特賣／momo拿樣書來賣？ 出版社不滿要求下架：會把我玩死 , https://udn.com/news/story/7266/7160977?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:30:39 , udn , momo購物網上月推出2元書特賣引起熱議，不過有出版社指出，momo當初是請出版社提供樣書，沒想到會拿去賣，若打這種價格戰，「會把我玩死！」業者發現後，已請momo立即將該書從活動中下架，momo也照做，momo表示，該場活動僅是短期行銷，活動前都有取得廠商同意。 , https://udn.com/news/story/7266/7160977?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:31:00 , udn , 經典台詞看到都會背！網熱議「周星馳電影排行」大公開 , https://udn.com/news/story/7270/7161410?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:31:10 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內「周星馳電影排行」話題的網路聲量表現，帶您了解網友熱議的五大周星馳電影有哪些。 , https://udn.com/news/story/7270/7161410?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:31:31 , udn , 中醫系爭議／陽明交大將破「365天條」闖關成功？未來中醫師恐不再高薪 , https://udn.com/news/story/6928/7161444?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:31:42 , udn , 目前全台有四間私立大學有中醫學系或學士後中醫系，為培育中醫高階人才，有兩間國立大學申請113學年新設中醫系，預計7月底教育部完成審查，但招生總額365人這個「天條」如何打破？據掌握，中醫師公會全國聯合會可能以「外加名額」的方式「放行」，讓四度闖關的陽明交大通過申設中醫系，只是中醫師人數已飽和，此門一開，恐將迎來兩大「痛點」。 , https://udn.com/news/story/6928/7161444?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:32:02 , udn , 走出疫情低迷 化妝品重登百貨業績火車頭 , https://udn.com/news/story/7238/7158706?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:32:13 , udn , 三年疫情期間，人人戴上口罩，女性省下化妝的錢，過往百貨業績占比最高約達三成的化妝品，將近三年業績一落千丈，但在疫情全面解封後，化妝品明顯回溫，今年有望翻身重新奪回過去「百貨火車頭」的地位，香氛及彩妝成長最快。 , https://udn.com/news/story/7238/7158706?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:32:33 , udn , 小酌怡情！最受台灣網友關注的酒類不是威士忌？ , https://udn.com/news/story/7270/7161440?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:32:44 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近六個月內「酒類排行」話題的網路聲量表現，帶您了解網友熱議的五大酒類排行。 , https://udn.com/news/story/7270/7161440?from=udn-ch1_breaknews-1-0-news
