2023-03-28 07:38:02 , udn , 在ChatGPT火爆全球之際，幫輝達生產AI晶片的晶圓代工龍頭台積電，近期卻通令所有員工，禁止使用ChatGPT詢問與公司營業祕密相關事項，理由是它可能成為洩密公司營業機密的破口。台積此項顧慮是否有理，別家科技公司會跟進嗎？ , https://udn.com/news/story/7238/7057714?from=udn-ch1_breaknews-1-0-news
2023-03-28 07:47:39 , udn , 高雄前鎮火警 獨居老翁燒傷送醫 , https://udn.com/news/story/7320/7060762?from=udn-ch1_breaknews-1-0-news
2023-03-28 07:47:49 , udn , 高雄市前鎮區一心二路1棟大樓今天清晨發生火警，獨居的張姓老翁住處起火，消防隊獲報，從屋內救出張姓老翁，發現他燒傷，松送醫... , https://udn.com/news/story/7320/7060762?from=udn-ch1_breaknews-1-0-news
2023-03-28 07:53:37 , udn , 原鄉就醫交通補助金申請難 原醫會：審核機制應數位化 , https://udn.com/news/story/7314/7060765?from=udn-ch1_breaknews-1-0-news
2023-03-28 07:53:47 , udn , 為了讓距離不再成為原鄉就醫沉重的挑戰，行政院原民會自1997年起提供偏鄉原住民族人「就醫交通費補助」，不少族人反映經費補... , https://udn.com/news/story/7314/7060765?from=udn-ch1_breaknews-1-0-news
2023-03-28 07:54:08 , udn , 台中北屯街頭10人亂鬥 警快打18人到場壓制查獲1槍12彈 , https://udn.com/news/story/7315/7060764?from=udn-ch1_breaknews-1-0-news
2023-03-28 07:54:18 , udn , 台中市北屯區崇德路、文心路口在今天凌晨4時許，傳出有10人街頭爭執、毆打，警方出動快打部隊到場，其中有3人受傷送醫，經查... , https://udn.com/news/story/7315/7060764?from=udn-ch1_breaknews-1-0-news
2023-03-28 07:59:49 , udn , 開槍擊斃狒狒疑雲重重獵人派出所身影曝光 警方出面說明了 , https://udn.com/news/story/123439/7060589?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:02:48 , udn , 台船承造高市3艘電動輪 環保低噪音最快年底交第1艘 , https://udn.com/news/story/7241/7060770?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:02:59 , udn , 高雄市輪船公司委由台船新建3艘電力驅動渡輪，最快今年底交船1艘，台船表示，新建渡輪具環保、低噪音、舒適特性，盼帶動綠能交... , https://udn.com/news/story/7241/7060770?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:03:19 , udn , 【專家之眼】台灣與宏都拉斯斷交 下一個可能是它 , https://udn.com/news/story/6656/7060769?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:03:30 , udn , 上周日我外交部正式宣布，即日起與中美洲宏都拉斯國斷交。此乃蔡英文上台不到七年的第9個斷交國，也是吳釗燮外長任內斷交的第7... , https://udn.com/news/story/6656/7060769?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:08:57 , udn , 陸半導體3倍薪搶人…看破「養套殺模式」！ 業內人士曝：已經走一波 , https://udn.com/news/story/12806/7059609?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:09:07 , udn , 大陸官方有意擴大扶持中芯、華虹、華為等陸資半導體廠，相關指標陸企近期對台灣半導體人才展開新一波挖角，透過「化整為零」方式，鎖定台積電（2330）、聯電等大廠製程與設備整合工程師，開出三倍薪資條件，引發PTT熱議，網友直言是「養套殺模式」，但也有業內人士透露「已經去很多人了」。 , https://udn.com/news/story/12806/7059609?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:14:49 , udn , 影／台62線賓士車高速自撞護欄人甩出 1死2傷車爛輪胎撞飛 , https://udn.com/news/story/7320/7060772?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:14:59 , udn , 台62線約5公里處基隆中正橋往郊區方向，今天清晨4點多，一輛黑色賓士休旅車，高速猛烈撞擊護欄後失控翻車，車內3人被拋出車... , https://udn.com/news/story/7320/7060772?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:20:49 , udn , 南台科大崇德青年社27校中脫穎而出 獲全國評選優等獎 , https://udn.com/news/story/6885/7060776?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:20:59 , udn , 南台科大崇德青年社、官將首研習社參加全國大專校院學生社團評選，昨天贏得技專校院服務性優等獎及學術性、學藝性甲等獎。 , https://udn.com/news/story/6885/7060776?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:21:19 , udn , 南部乾旱 新化林場農塘蓄水卻全滿 來自森林的「大祕寶」 , https://udn.com/news/story/7326/7060775?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:21:30 , udn , 南部長達600天沒有明顯降雨，面臨比2年前百年大旱更嚴重的缺水危機，中興大學新化林場農塘幾乎還是蓄滿，遊客很好奇，山上的... , https://udn.com/news/story/7326/7060775?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:26:49 , udn , 進校搶才 勞動部大專青年預聘計畫申請期限延至4月15日 , https://udn.com/news/story/6885/7060785?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:26:59 , udn , 勞動部今年首推「大專青年預聘計畫」，由企業提供中階以上技術層級工作崗位訓練，搭配學校提供實務或訓練學程，讓畢業前一年本國... , https://udn.com/news/story/6885/7060785?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:27:20 , udn , 照片看歷史／1959年蔣中正親臨國際學舍 弔823殉職副司令官 , https://udn.com/news/story/7314/7058938?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:27:30 , udn , 1959年3月28日中午，時任總統的蔣中正親臨國際學舍祭弔前一年在823金門砲戰中壯烈殉職的趙家驤上將、吉星文上將、章傑中將，並慰問三位將軍遺屬，分別與三家遣屬合照。政府是在砲戰一年後的1959年3月21日首次公布三位副司令官為國捐軀的消息。

追悼大會由時任副總統陳誠主祭，于右任、莫德惠、謝冠生、何應欽、張群、王雲五、白崇禧、俞大維、王叔銘、周至柔、黃鎮球、金弘一、黃啟瑞等25人陪祭，高級文武官員及全國各界代表一千餘人與祭。 , https://udn.com/news/story/7314/7058938?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:27:51 , udn , 真實人生／日本最出名「死刑犯姊姊」 世人唾棄你我也要守護到最後 , https://udn.com/news/story/6812/7057360?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:28:01 , udn , 據信是全世界被關押最久的日本死刑犯袴田嚴，與司法奮戰超過半個世紀，姊姊秀子是最堅定的夥伴。秀子至今近三分之二的人生奉獻給家中么弟，剛許下的生日願望是活著見證再審，弟弟洗刷冤屈，因為，她已經高齡90歲。... , https://udn.com/news/story/6812/7057360?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:28:22 , udn , 分租套雅房電費搶先台電喊漲 智慧電表淪天方夜譚 租客如何自保？ , https://udn.com/news/story/7238/7059678?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:28:32 , udn , 台電4月將調漲電價，未來住宅用電每月超過700度，將微調3%，超過1000度則調漲10%，但已引發百萬租屋族憂慮，因消息公告不到一周，坊間陸續有房東搶先台電，表示將隨政策調漲電費，且每度至少6元以上；由於多數分租套雅房的房東，往往設定每度統一收費5、6元，當漲價時，房客自然也是使用的每一度電都被漲3~10%，顯然與台電所稱「只有701度以上才會調漲」有所出入。... , https://udn.com/news/story/7238/7059678?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:28:52 , udn , 消失兒童節／企業搶救少子化危機 交往、結婚、育兒佛心一條龍補助 , https://udn.com/news/story/7266/7057550?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:29:03 , udn , 全球第三大精密螺帽廠盈錫精密工業，長年備車讓員工便宜租借出遊，生兩胎的育兒津貼每年最高可領8000元，一路從出生領到12歲，更免費供餐讓員工省去下班煮晚餐的辛勞。當台灣深陷「少子化危機」，盈錫為何要打理員工從交往、結婚、生子的各項支出？為了達成「這項目標」，反而打造出員工願更早生育，令人稱羨的「幸福企業」？ , https://udn.com/news/story/7266/7057550?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:29:23 , udn , 桃農業局專委合照中槍狒狒笑喊「拍照給女兒」 網全炸鍋 , https://udn.com/news/story/123439/7060779?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:29:34 , udn , 東非狒狒南桃園大逃亡，昨天終於落網卻遭槍擊死亡。桃園市農業局專門委員盧紀燁昨表示，團隊抵達時已有另組人在場，同時發現狒狒... , https://udn.com/news/story/123439/7060779?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:29:49 , udn , 【專家之眼】馬訪陸幫賴清德助選？ , https://udn.com/news/story/6656/7060787?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:30:00 , udn , 目前對於前總統馬英九以祭祖名義訪問中國大陸的評論，可大致分為兩種壁壘分明立場。支持兩岸和平發展的力量，對馬出訪讚不絕口，... , https://udn.com/news/story/6656/7060787?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:30:20 , udn , 社恐人士好焦慮？這些煩惱引起廣大社交恐懼者共鳴！ , https://udn.com/news/story/7266/7054504?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:30:25 , udn , 南部乾旱！新化林場農塘蓄水卻全滿 來自森林的「大祕寶」 , https://udn.com/news/story/7326/7060775?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:30:30 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「社交恐懼煩惱」話題的網路聲量表現，帶您了解網友熱議的五大社交恐懼煩惱。 , https://udn.com/news/story/7266/7054504?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:35:50 , udn , 【重磅快評】獵殺狒狒之保育荒謬記事 , https://udn.com/news/story/7324/7060790?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:36:01 , udn , 一隻東非狒狒，不知源頭何來，也不知為何而死。 , https://udn.com/news/story/7324/7060790?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:41:50 , udn , 直接冷掉！NVIDIA執行長：加密貨幣對社會毫無貢獻 還不如發展「它」 , https://udn.com/news/story/122837/7060222?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:42:00 , udn , 在接受訪談時，NVIDIA技術長Michael Kagan認為加密貨幣對於社會沒有任何貢獻，不如投入ChatGPT等人工智慧技術應用發展。 , https://udn.com/news/story/122837/7060222?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:50:59 , udn , 該和他／她結婚嗎？說「我願意」前先評估這5點 , https://udn.com/news/story/7272/7054492?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:51:10 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「適婚標準」話題的網路聲量表現，帶您了解網友熱議的五大適婚評估要點有哪些。 , https://udn.com/news/story/7272/7054492?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:51:30 , udn , 明陽光露臉中南部上看30度 天氣風險公司：周四雨再來 , https://udn.com/news/story/7266/7060808?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:51:41 , udn , 天氣風險公司天氣分析師歐宗學今天說，昨天下午開始有新一波的華南雲系逐漸接近台灣，台南以北平地、高屏山區都降雨，但雨量不是... , https://udn.com/news/story/7266/7060808?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:54:00 , udn , 結婚一定要辦婚禮嗎？網揭都是辦給「這些人」開心 , https://udn.com/news/story/7272/7056244?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:54:11 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「是否要辦婚禮」相關話題的網路聲量，帶您了解網友的正反意見有哪些。 , https://udn.com/news/story/7272/7056244?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:54:31 , udn , 蘋果iPhone相簿隱藏功能再被扒！果粉想「偷吃」必學1招對付正宮 , https://udn.com/news/story/7098/7060579?from=udn-ch1_breaknews-1-0-news
2023-03-28 08:54:41 , udn , 蘋果（Apple）的iPhone隱藏功能多到數不清，近日一名女網友就發現iPhone相簿的「偷情」功能，只要點擊1選項即可讓想要偷藏的「秘密情人」減少... , https://udn.com/news/story/7098/7060579?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:00:00 , udn , 聖露西亞駐台大使訪屏科大 探視學生並開展更多交流 , https://udn.com/news/story/6928/7060815?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:00:10 , udn , 聖露西亞駐台大使勞勃．路易斯H.E. Ambassador. Dr. Robert Kennedy Lewis、二等秘書... , https://udn.com/news/story/6928/7060815?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:00:31 , udn , 美國教會學校槍擊案釀6死！遭擊斃槍手為28歲變性校友 , https://udn.com/news/story/6813/7060812?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:00:42 , udn , 美國田納西州納什維爾（Nashville）一間私立教會小學27日發生槍擊案，一名28歲跨性別女子持槍進入校園，殺害三名9... , https://udn.com/news/story/6813/7060812?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:01:02 , udn , 3/28【早晨財經速解讀】慘!又一顆景氣藍燈 矽銀終於找到買主 銀行危機結束? , https://udn.com/news/story/7251/7060801?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:01:13 , udn , 矽谷銀行（SVB）被收購提振銀行股，投資人對銀行業動盪進一步蔓延疑慮降溫，但科技股下跌限制了美股漲勢。 , https://udn.com/news/story/7251/7060801?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:03:00 , udn , 普發6000元網友熱議問答看這邊！網推「這方式」領取超方便 , https://udn.com/news/story/123271/7054440?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:03:10 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一個月內「普發現金」話題的網路聲量表現，帶您了解網友熱議普發現金的4大問答與5種領取管道。 , https://udn.com/news/story/123271/7054440?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:03:31 , udn , 想開拓交友圈不如就用這招！網推六大交友軟體助你早日脫單 , https://udn.com/news/story/7272/7054458?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:03:41 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內「交友軟體」話題的網路聲量表現，帶您了解網友熱議的交友軟體有哪些。 , https://udn.com/news/story/7272/7054458?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:04:02 , udn , 高雄BMW追撞賓士肇事者不下車 警破窗拉出才知原因 , https://udn.com/news/story/7320/7060816?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:04:12 , udn , 高雄黃姓男子昨天下午開BMW轎車，不慎追撞前方賓士E250轎車，黃遲未下車，民眾報警，警方到場也叫不下車，破窗將他拉下車... , https://udn.com/news/story/7320/7060816?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:05:03 , udn , 美國教會學校槍擊案釀6死 遭擊斃槍手為28歲變性校友 , https://udn.com/news/story/6813/7060812?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:14:49 , udn , 2023年健康運！虎要顧牙齒、狗當心旅行生病、這生肖超健康 , https://udn.com/news/story/7268/7054878?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:15:00 , udn , 2023年是農曆的癸卯年，也是屬於十二生肖中的一個重要年份。每個生肖在不同的年份都會受到不同的健康影響，因此掌握自己的運勢才能更好地保護身體健康。從關節疾病到慢性病，從心腎健康到口腔耳鼻喉問題，為您詳細解析十二生肖2023年的疾厄宮（健康）運勢。 , https://udn.com/news/story/7268/7054878?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:15:20 , udn , 誰「指使」擊斃出逃狒狒？各方卸責 桃警今函送獵人 , https://udn.com/news/story/123439/7060823?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:15:31 , udn , 桃園「狒狒出逃記」昨晚戲劇性悲劇收場，「誰殺了狒狒」全民關注，警方傳喚桃園市農業局、新竹縣農業處、六福村及獵人共13人漏... , https://udn.com/news/story/123439/7060823?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:15:51 , udn , 少女關節不定時疼痛竟是巨大細胞瘤作祟 冷凍治療根除 , https://udn.com/news/story/7266/7060821?from=udn-ch1_breaknews-1-0-news
2023-03-28 09:16:02 , udn , 北部一名18歲許小姐關節不定時疼痛，經查發現居然是巨大細胞瘤，台北慈濟醫院骨科醫師黃振文以「輔助性冷凍治療」，骨刮除後填... , https://udn.com/news/story/7266/7060821?from=udn-ch1_breaknews-1-0-news
