2023-02-13 07:33:21 , udn , 新北高中微轉型投入FRC競賽 學生玩機器人上國立大學理工科系 , https://udn.com/news/story/6885/6966463?from=udn-ch1_breaknews-1-0-news
2023-02-13 07:33:21 , udn , 科技業求才若渴，尤其高階工程師最缺，新北多所學校逐漸「微轉型」，以期待可以提升學校競爭力，新北市在109學年度推動FRC扎根計畫，FRC（FIRST Robotics Competition）是全球知名機器人競賽之一，有學校組隊參加後，豐富升學的學習歷程檔案，隊員全都考上國立大學理工科系，而崇光高中去年才剛成軍，首次參賽就拿下聯盟冠軍，且隊伍全由女學生組成。 , https://udn.com/news/story/6885/6966463?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:03:20 , udn , 【專家之眼】請問新加坡總理李顯龍，組屋能住嗎？ , https://udn.com/news/story/6656/6967404?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:03:20 , udn , 新加坡總理李顯龍在8年前的一段視頻裡，語帶嘲弄的說，在台灣，要是你問年輕人「什麼時候打算買屋子，他可能以為你是在逗笑他或... , https://udn.com/news/story/6656/6967404?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:03:20 , udn , 唐綺陽星座運勢週報：巨蟹職場留意「這點」射手感情別相親 , https://udn.com/news/story/7268/6964776?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:03:20 , udn , 金海合相雙魚，增添浪漫氛圍，默默付出會被看見，感受暗中的神奇力量，適合多參與藝術、宗教活動。水星進水瓶，世界變化持續發威，關注意見領袖的動作。太陽在水瓶衝刺，社群、網路資訊量大，科技行業持續變化。 , https://udn.com/news/story/7268/6964776?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:03:20 , udn , 台灣望遠鏡／預售屋打7折沒人要 南韓房市泡沫如何一夕吹破？ , https://udn.com/news/story/6811/6963521?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:03:20 , udn , 台灣打炒房，專家說預售屋將現逃命潮，鄰近的南韓受升息等影響，房地產泡沫崩壞。有投資客用八、九成收入在苦撐房貸，因房價跌破買進價格，連逃命的機會都沒有。

南韓官方機構韓國不動產部2022年全國住宅價格，比前一年下挫4.7%，是2003年有統計以來最大降幅... , https://udn.com/news/story/6811/6963521?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:03:21 , udn , 本周台股／台股高檔震盪 留意聯準會放鷹打壓美股走勢 , https://udn.com/news/story/7238/6966596?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:03:21 , udn , 在近期大漲之後，上周台股出現高檔震盪走勢，結束過去四周連續收紅K棒，周五收盤指數1萬5586點，上周指數微幅下挫16點，周線跌幅0.1％，平均日均量2113.94億元，周線仍維持連五紅。
三大法人上周買氣暫歇，外資、自營轉向保守，散戶開始買進。外資小幅賣超2.03億元，中止連四買態勢，自營商也從連四買轉為賣超81.85億元，僅有投信法人站在買方，回補34.12億元，三大法人單周合計賣超49.76億元。
針對上周盤勢，法人分析，上周台股雖高檔震盪，但表現比美股強，由於年前本土投資機構極其保守，規避長假風險，年後追趕國際股市漲幅，在內、外資共同回補台股情況下，加權指數於1月30日開紅盤便一舉站上年線，期間雖有震盪，但始終維持於年線上強勢整理，類似去年11月中下反彈現象。 , https://udn.com/news/story/7238/6966596?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:03:21 , udn , 照片看歷史／1955年蔣經國與大陳最後撤退部隊 同乘軍艦抵達基隆港 , https://udn.com/news/story/7314/6966149?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:03:21 , udn , 1955年2月13日，大陳防衛司令官劉廉一與國防會議副祕書長蔣經國上午乘我海軍軍艦返回台灣基隆港。劉司令官及蔣副祕書長12日下午乘軍艦離開大陳，他們是最後一批離開大陳者。

國防會議副祕書長蔣經國是於1月30日飛往該地，並曾於2月2日在大陳召集政工人員舉行政工檢討會議，在會議中講話。10日上午8時蔣經國領導駐軍官兵代表舉行最後一次的升旗典禮，海軍副總司令黎玉璽，大陳行政專員沈之岳也參加。蔣經國在典禮中說：「今天我們的心情是沉痛的，但我們堅決相信，在總統領導下，我們一定可以打回大陸，把這莊嚴美麗的國旗插在紫金山上。」 , https://udn.com/news/story/7314/6966149?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:09:21 , udn , 影／白沙屯媽祖最美風景 阿嬤無法跪拜二女警扶持助鑽轎底 , https://udn.com/news/story/7325/6967408?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:09:21 , udn , 最美的風景，白沙屯媽祖今天從台中市清水區起駕，一名85歲婦人身體不好想求身體平安，但無法跪拜，蹲在人群中排隊，二名女警見... , https://udn.com/news/story/7325/6967408?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:18:20 , udn , 00878將一直在10幾元徘徊？專家曝1關鍵：有些ETF先天不會漲 , https://udn.com/news/story/123006/6967399?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:18:20 , udn , 近期台股ETF市場相當火熱，2022年國內ETF規模來到2.33兆元，國泰永續高股息（00878）、富邦台灣采吉50基金（006208）等都是投資人的最愛，投信公司不斷地推陳出新，而投資人也趨之若鶩，自從2003年以來，投信基金就不斷地推出ETF，未來ETF市場規模還會持續突破。但是多數的ETF都還在10元左右徘徊，甚至有些ETF出現下市的情況？ , https://udn.com/news/story/123006/6967399?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:21:21 , udn , 美國軍方在美國和加拿大邊界附近的休倫湖上方擊落一個飛行物，這是美國戰鬥機本月第四次進行類似攔截。英國金融時報引述台灣官員... , https://udn.com/news/story/6811/6967392?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:27:20 , udn , 抓到了！持尖刀抵長髮妹腰間逼超商領款 他搶千元落網 , https://udn.com/news/story/7315/6967426?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:27:20 , udn , 高雄29歲黃姓女子昨晚10時許，在新興區中華三路前遭陌生男持尖刀抵腰間，交出1000元，黃女身上沒錢，遭歹徒威逼她進超商... , https://udn.com/news/story/7315/6967426?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:27:21 , udn , 從福斯到蘋果 跨國企業CEO再訪中國大陸 , https://udn.com/news/story/6811/6967395?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:27:21 , udn , 即使間諜氣球疑雲加劇美中緊張局勢，但隨著中國大陸結束嚴格防疫措施重新開放，跨國企業的高層主管正陸續重回這個因為關閉國際旅... , https://udn.com/news/story/6811/6967395?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:30:21 , udn , 影／星雲大師圓寂  佛光人拂曉湧入佛光山為大師送行 , https://udn.com/news/story/7314/6967431?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:30:21 , udn , 佛光山開山宗長星雲大師5日圓寂，今天舉辦圓寂讚典禮，會後發引台南大仙寺「荼毘」，佛光山僧信二眾不捨大師人生落幕，天未亮即... , https://udn.com/news/story/7314/6967431?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:30:21 , udn , 國中小開學了！南警啟動護童確保平安 , https://udn.com/news/story/7315/6967430?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:30:21 , udn , 全國各國民中小學今開學，台南市白河、學甲、新營警分局一早就啟動「護童專案」，員警及協勤民力、志工前往轄內各小學校門口協助... , https://udn.com/news/story/7315/6967430?from=udn-ch1_breaknews-1-0-news
2023-02-13 08:30:22 , udn , 蘋果何時推iPhone訂閱服務？他預估最快3月來臨 , https://udn.com/news/story/7098/6967397?from=udn-ch1_breaknews-1-0-news
