2023-05-20 08:38:13 , udn , 美國智庫蘭德公司在5月16日，對外公布以「美國在印太地區主要作戰行動：盟友觀點」(U.S. Major Combat O... , https://udn.com/news/story/10930/7177999?from=udn-ch1_breaknews-1-0-news
2023-05-20 08:38:34 , udn , 美宣布新一輪對俄制裁 俄羅斯反制禁歐巴馬等500人入境 , https://udn.com/news/story/122663/7177998?from=udn-ch1_breaknews-1-0-news
2023-05-20 08:38:44 , udn , 美國政府19日對俄羅斯宣布新一輪制裁，新增逾300個實體名單，以針對俄羅斯規避制裁漏洞。俄羅斯外交部宣布反制，把500名... , https://udn.com/news/story/122663/7177998?from=udn-ch1_breaknews-1-0-news
2023-05-20 08:50:42 , udn , 藍縣市長立委今齊聚誓師  侯友宜拋出征宣言 , https://udn.com/news/story/123514/7178008?from=udn-ch1_breaknews-1-0-news
2023-05-20 08:50:53 , udn , 國民黨周三宣布徵召提名新北市長侯友宜為總統參選人，今天上午在中央黨部將舉行誓師大會，除侯友宜外，國民黨中央邀集黨籍立委參... , https://udn.com/news/story/123514/7178008?from=udn-ch1_breaknews-1-0-news
2023-05-20 08:51:14 , udn , 蔡總統9時發表520談話「盼打造一個更好台灣」 , https://udn.com/news/story/123516/7178002?from=udn-ch1_breaknews-1-0-news
2023-05-20 08:51:24 , udn , 蔡英文總統今天就職滿7周年，將於上午9時在總統府舉行記者會發表談話並接受媒體提問，談話主軸為感謝民眾與執政團隊，這7年重... , https://udn.com/news/story/123516/7178002?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:02:02 , udn , 李輝與波蘭副外長談烏克蘭危機：願與波蘭繼續保持溝通 , https://udn.com/news/story/7331/7178014?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:02:13 , udn , 依據大陸外交部官網，中國政府歐亞事務特別代表李輝昨19日在波蘭華沙與波蘭外交部副國務秘書（副外長）格爾維爾舉行會談。雙方... , https://udn.com/news/story/7331/7178014?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:07:59 , udn , G7領袖將發表聲明 反中國大陸經濟脅迫但不尋求脫鉤 , https://udn.com/news/story/6811/7178023?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:08:09 , udn , 七大工業國（G7）領袖正在日本廣島舉行會議，拜登政府預告將聯合發布經濟安全的聲明，主要經濟體將統一針對中國大陸的做法，目... , https://udn.com/news/story/6811/7178023?from=udn-ch1_breaknews-1-0-news
2023-05-20 09:08:30 , udn , 全球最貴冰淇淋「每份要價20萬」！創金氏世界紀錄 , https://udn.com/news/story/6809/7178015?from=udn-ch1_breaknews-1-0-news
