2023-04-23 09:43:19 , udn , 國民黨立委初選信義南松山選區，議員徐巧芯勝出，立委費鴻泰無緣挑戰連任，也表態爭取內湖南港選區的北市議員游淑慧今天也在臉書... , https://udn.com/news/story/6656/7117090?from=udn-ch1_breaknews-1-0-news
2023-04-23 09:43:40 , udn , 大叔不滿女護理師檢傷詢問 竟罵髒話作勢砸人吃官司 , https://udn.com/news/story/7314/7117088?from=udn-ch1_breaknews-1-0-news
2023-04-23 09:43:50 , udn , 49歲高姓男子受傷被送到醫院急診，僅因對林姓女護理師在檢傷時詢問事項感到不滿，竟涉嫌以五字經辱罵林女，並作要抓起血壓器砸... , https://udn.com/news/story/7314/7117088?from=udn-ch1_breaknews-1-0-news
2023-04-23 09:45:06 , udn , 特斯拉全面勝訴 最終裁定Autopilot不是事故的「罪魁禍首」 , https://udn.com/news/story/6811/7116970?from=udn-ch1_breaknews-1-0-news
2023-04-23 09:45:17 , udn , 集微網消息，路透社報導稱，在特斯拉Autopilot功能涉及的首次事故案件審判結束後，陪審團表示，特斯拉明確警告部分自動駕駛軟件不是自主駕駛系統，司機分心是「罪魁禍首」。 , https://udn.com/news/story/6811/7116970?from=udn-ch1_breaknews-1-0-news
2023-04-23 09:45:38 , udn , 菲律賓總統：台灣問題是中國內政，將恪守一中政策 , https://udn.com/news/story/7331/7117093?from=udn-ch1_breaknews-1-0-news
2023-04-23 09:45:48 , udn , 菲律賓在持續擴大與美國軍事合作的同時，也謹慎處理與中國的關係。據大陸外交部新聞稿，菲律賓總統馬可仕22日在馬尼拉會見到訪... , https://udn.com/news/story/7331/7117093?from=udn-ch1_breaknews-1-0-news
2023-04-23 09:51:17 , udn , 影／恐怖!高雄楠梓電桿避雷器響爆 台電：5秒即自動恢復 , https://udn.com/news/story/7327/7117096?from=udn-ch1_breaknews-1-0-news
2023-04-23 09:51:27 , udn , 高雄楠梓區右昌街今天上午發生電桿避雷器故障，瞬間噴出驚人火花，當時正好有民眾行車路過，現場電力閃爍整條街隨即陷入漆黑，但... , https://udn.com/news/story/7327/7117096?from=udn-ch1_breaknews-1-0-news
2023-04-23 09:51:48 , udn , NBA／杜蘭特與布克合砍61分 太陽輕取快艇季後賽聽牌 , https://udn.com/news/story/7002/7117080?from=udn-ch1_breaknews-1-0-news
2023-04-23 09:51:58 , udn , 太陽隊今天在杜蘭特（Kevin Durant）、布克（Devin Booker）合力拿下61分的聯手帶領下，以112比100客場擊敗快艇，在季後賽首輪3... , https://udn.com/news/story/7002/7117080?from=udn-ch1_breaknews-1-0-news
2023-04-23 09:52:19 , udn , 上午6時17分台南東山規模3.2地震 最大震度3級 , https://udn.com/news/story/7266/7117095?from=udn-ch1_breaknews-1-0-news
2023-04-23 09:52:29 , udn , 中央氣象局發布小區域有感地震報告，今天上午6時17分，在台南市政府北北東方42.7公里，位於台南市東山區，發生芮氏規模3... , https://udn.com/news/story/7266/7117095?from=udn-ch1_breaknews-1-0-news
