2023-05-18 08:58:29 , udn , 法國外交部長柯隆納表示，台灣參與國際組織將帶來附加價值，且法國已同意台灣參與即將召開的世界衛生大會，但認為部長級官員訪台... , https://udn.com/news/story/6809/7172945?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:59:21 , udn , 不滿郭台銘被「莊孝維」楊秋興斷言國民黨將輸300萬票 , https://udn.com/news/story/123514/7172961?from=udn-ch1_breaknews-1-0-news
2023-05-18 08:59:52 , udn , 野戰慘劇！頂樓愛愛20歲女遭反綁雙手墮20樓亡 調查揭驚人內幕 , https://udn.com/news/story/6810/7172937?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:00:03 , udn , 韓國發生駭人命案，一名被反綁雙手的20歲女子，從20樓頂樓墮下死亡。調查指出，女子當時原來正與17歲男友在頂樓欄杆附近「愛愛」，不料女子起身時失平衡墮樓，釀成慘劇。男友事後被控過失殺人罪，法院近日裁決指，被告疏忽而導致意外，但考慮他當時仍是青少年，遂判緩刑2年。 , https://udn.com/news/story/6810/7172937?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:08:24 , udn , 影／游錫堃再訪國會 晤裴洛西和眾院外委會主席 , https://udn.com/news/story/6656/7172990?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:08:34 , udn , 立法院長游錫堃17日赴國會拜會聯邦眾議院外交委員會主席麥考爾（Michael McCaul）和曾擔任議長的現任民主黨議員... , https://udn.com/news/story/6656/7172990?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:08:55 , udn , 「不想跟他們當同事」三星座！處女龜毛、天蠍冷漠、這星座好相處但超煩人 , https://udn.com/news/story/7268/7171629?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:09:06 , udn , 工作已經很辛苦了，如果還有難搞的同事，真的就太悲慘了。命理網站旺好運分享「這些星座在職場超難搞」，快看看你的長官同事有沒有上榜吧！ , https://udn.com/news/story/7268/7171629?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:09:27 , udn , 人夫驗DNA驚養17年子女非親生！妻哭訴崩潰真相 後續超展開 , https://udn.com/news/story/6810/7172951?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:09:38 , udn , 沒事不要亂驗DNA！外國1名男子因買了1個DNA測試套裝，沒想到一驗之下，竟發現養育了17年的雙胞胎兄妹，原來並非他的親生子女。妻子其後坦言新婚當晚兩人爭執後，她到酒吧買醉並與陌生男子發生一夜情，結果意外懷上對方孩子。 , https://udn.com/news/story/6810/7172951?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:09:59 , udn , 開全美第一槍！蒙大拿州宣布封殺TikTok , https://udn.com/news/story/6811/7172986?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:10:09 , udn , 全球多國政府因擔憂中國短影音平台TikTok可能危害個人隱私甚至國家安全，陸續禁止在公部門使用。如今美國蒙大拿州宣布，禁... , https://udn.com/news/story/6811/7172986?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:10:30 , udn , 驚！廚房突現35粒「怪圈圈」 網認出是這種蟲卵：快處理掉啦 , https://udn.com/news/story/7335/7172978?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:10:41 , udn , 蟲卵之可怕在於不知其品種，有網友日前發文，稱在家中發現數十顆膠珠似的「圈圈」，連串並排出現，不知是何物。有眼尖網友就認為這是一種蛾卵，也有人建議原po處理掉。 , https://udn.com/news/story/7335/7172978?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:11:01 , udn , CDDC裁定：瑞信AT1全額註銷不構成CDS賠付 , https://udn.com/news/story/6811/7172984?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:11:12 , udn , 負責監管信用違約交換合約（CDS）市場的信用衍生品裁定委員會（CDDC）周三開會裁定，瑞信集團全額註銷額外一級資本（AT... , https://udn.com/news/story/6811/7172984?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:11:33 , udn , 今年梅雨不太妙？美國預測6月初台灣梅雨不見 換成颱風排排站 , https://udn.com/news/story/7266/7172979?from=udn-ch1_breaknews-1-0-news
2023-05-18 09:11:43 , udn , 今年梅雨不太妙？天氣風險公司粉專在臉書貼文指出，美國GFS模式14天後的預測，台灣梅雨不見了，換成颱風排排站。並指出如果... , https://udn.com/news/story/7266/7172979?from=udn-ch1_breaknews-1-0-news
