2023-04-28 08:48:31 , udn , 亞洲過去數周正經歷「無休止的高溫」，酷熱的氣溫導致學校停課和能源使用激增，包括泰國、緬甸、寮國、越南、中國和南亞國家的監... , https://udn.com/news/story/6809/7128939?from=udn-ch1_breaknews-1-0-news
2023-04-28 08:48:52 , udn , 三天假期 吳聖宇：明晚鋒面到北東降10度 周一北涼南暖 , https://udn.com/news/story/7266/7128937?from=udn-ch1_breaknews-1-0-news
2023-04-28 08:49:02 , udn , 今天是星期五，明天起勞動節三天假期，天氣風險公司天氣分析師吳聖宇今天指出， 明溫度偏高天氣較穩定，周日鋒面通過北東降雨降... , https://udn.com/news/story/7266/7128937?from=udn-ch1_breaknews-1-0-news
2023-04-28 08:54:21 , udn , 影／命大！新北醉男倒路中 一車閃過一車輾過他...幸運僅擦傷 , https://udn.com/news/story/7320/7128943?from=udn-ch1_breaknews-1-0-news
2023-04-28 08:54:31 , udn , 24歲許姓男子，今天凌晨喝的酩酊大醉倒臥新北市三重區龍門路馬路上，黃姓計程車司機沒有注意直接開車過去，躺在車底的許男，幸... , https://udn.com/news/story/7320/7128943?from=udn-ch1_breaknews-1-0-news
2023-04-28 08:54:52 , udn , MLB／只差幾呎…大谷差點完全打擊 6局失5分仍奪第4勝 , https://udn.com/news/story/6999/7128942?from=udn-ch1_breaknews-1-0-news
2023-04-28 08:55:03 , udn , 只差了大約10呎，大谷翔平就要成就歷史，今天面對運動家隊先發6局失5分，打擊上依序出現一壘打、二壘打、三壘打，8局下的打... , https://udn.com/news/story/6999/7128942?from=udn-ch1_breaknews-1-0-news
2023-04-28 08:57:20 , udn , 基隆基金一路號誌、電桿擋通行 盼遷移、下地友善行人 , https://udn.com/news/story/7328/7128945?from=udn-ch1_breaknews-1-0-news
2023-04-28 08:57:30 , udn , 基隆市基金一路208巷路口號誌、基金一路214號電桿等，位置都在人行道上，阻礙行人及身障人士通行，被迫走到馬路上險象環生... , https://udn.com/news/story/7328/7128945?from=udn-ch1_breaknews-1-0-news
2023-04-28 08:57:51 , udn , 土城當舖槍擊案／警南下雲林及花蓮再逮弘仁會14人 , https://udn.com/news/story/7320/7128944?from=udn-ch1_breaknews-1-0-news
2023-04-28 08:58:01 , udn , 新北市警局針對竹聯幫弘仁會幫派分子日前涉嫌在土城當舖槍擊案，先前已進行兩波掃蕩逮11人，昨晚在新北地檢署木察官指揮下，前... , https://udn.com/news/story/7320/7128944?from=udn-ch1_breaknews-1-0-news
2023-04-28 08:59:23 , udn , 「無休止的高溫」！嚴重熱浪席捲亞洲 多國4月出現歷史新高溫 , https://udn.com/news/story/6809/7128939?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:00:22 , udn , 才獲全國獎銅牌 高雄優秀高中生拿駕照剛滿月今自撞身亡 , https://udn.com/news/story/7320/7128948?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:00:32 , udn , 高雄大榮高中楊姓高中生上個月才剛拿到駕照，買了新機車，今天凌晨1時30分許，騎車行經三民區同盟一路與孝順街口，疑過彎不慎... , https://udn.com/news/story/7320/7128948?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:00:53 , udn , 爭取參加WHA  薛瑞元投書美媒籲重視台灣公衛成就 , https://udn.com/news/story/6809/7128918?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:00:55 , udn , 英特爾創史上最大單季虧損 但給出樂觀財測 或走出低谷 , https://udn.com/news/story/6811/7128931?from=udn-ch1_breaknews-1-0-news
2023-04-28 09:01:03 , udn , 2023年世界衛生大會（WHA）5月將在瑞士日內瓦登場，衛福部長薛瑞元26日投書美媒「外交家」，呼籲國際重視台灣公衛及防... , https://udn.com/news/story/6809/7128918?from=udn-ch1_breaknews-1-0-news
