2023-02-07 07:33:19 , udn , 美國總統拜登7日將發表任內第2場國情咨文演說，但一份最新民調發現，超過6成美國民眾認為拜登達成的不多，近7成對他能否為國... , /news/story/6813/6954578?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:39:18 , udn , 【專家之眼】夏立言再次訪陸 各方要珍惜寶貴時機 , /news/story/6656/6954581?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:39:18 , udn , 年前出現一些蛛絲馬跡新聞後，國民黨終於正式宣布將在8日由副主席夏立言率團訪問對岸。相較於去年中共軍演後的出訪，此次時機的... , /news/story/6656/6954581?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:39:19 , udn , 美國股市周一收跌，投資人關注聯準會（Fed）主席鮑爾周二的談話可能打壓市場對他近期表態的看漲反應，同時對Fed會將繼續堅定緊縮路線的押注也在增加。 , /news/story/6811/6954573?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:54:20 , udn , 蓋南華、佛光大學營造商與星雲大師結緣 珍藏星雲多件墨寶 , /news/story/7314/6954589?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:54:21 , udn , 佛光山開山宗長星雲大師圓寂，星雲民間好友：嘉義家扶中心主委、鈺通營造公司董事長黃國芳，昨天到佛光山弔唁，追思感念，黃國芳... , /news/story/7314/6954589?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:00:18 , udn , 獨生子女VS兄弟姐妹？原來他們各自有這些困擾！ , /news/story/7272/6949793?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:00:18 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年「獨生子女VS兄弟姐妹」話題的網路聲量表現，帶您了解網友對於獨生子女與擁有兄弟姐妹的看法。 , /news/story/7272/6949793?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:03:19 , udn , 快看！賞櫻地圖大公開 武陵農場成網友最愛櫻花勝地 , /news/story/7266/6944808?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:03:19 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年網友討論的櫻花話題，帶您了解網友熱議的10大賞櫻景點。 , /news/story/7266/6944808?from=udn-ch1_breaknews-1-0-news
